text,script
ਪੋਤਾ ਜਸਵੰਤ ਕੌਰ ਦਾ,Gurmukhi
ਕੁੜੀ ਦੇਖ ਕੇ ਲੰਨ ਖੜਾ ਹੋ ਗਿਆ,Gurmukhi
im daily listener offline ਤਰਲੇ te online ਵੇਰਦਿਆ,Gurmukhi
ki likh dita ki sing karta music also din ch pata ni kini var sunda aa ghaint bai love paji kash tnu mil saka,Roman Punjabi
pura khant ok aa gana yaar lo ve it so much,Roman Punjabi
ਲੋਕ ਸੋਂਗ ਸੁਣਨ ਤੇ ਓਹਨੂੰ viwe auon,Gurmukhi
ਉਹ ਕਹਿੰਦੇ ਸਨ ਉਹ ਇੱਕ ਦਿਨ ਇੱਕ y ਦਾ ਮਤਲਬ ਸੀਵ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਦਾ ਸੀ ਅਤੇ ਉਸ ਦੇ ਹੱਥ ਵਿੱਚ ਸੀ ਤੇ ਉਸwy,Gurmukhi
kudi nu ek line v ni aundi picha hilaun ton bina,Roman Punjabi
ਤੇਰੇ ਸਾਰੇ ਗਾਣੇ ਹੀ ਸਿਰਾ ਹੁੰਦੇ ਆ ਬਾਈ,Gurmukhi
le fr ho gayi recovery,Roman Punjabi
sidhu de gane wangu att kraunda,Roman Punjabi
ਫੁਦੂ ਗਾਣਾ ਫੁਦੂ ਸਿੰਗਰ,Gurmukhi
hindi fans a ki bolda peya,Roman Punjabi
goli mehngi bnde tkke de rkaane,Roman Punjabi
nov nu barota arya industry which sare singer apne date change kar lo,Roman Punjabi
navan vs pram dhillo ਖੇਚਕੇ,Gurmukhi
reapat te laa rakheya,Roman Punjabi
bahut sohna geet bai g,Roman Punjabi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ is back,Gurmukhi
ਉਹ ਸ਼ਰਾਬ ਦੀ ਮਾਸੀ ਦੇ ਵੀ ਕੱਪੜੇ ਪਵਾ ਲੈਂਦਾ ਆਪਦੇ ਤਾਂ ਪੂਰੇ ਪਾਈ ਬੈਠਾ ਇਹਦੇ ਤਾਂ ਪਵਾ ਲੈਂਦਾ ਤੁਸੀਂ ਕਿਹੜਾ ਹੁਣ ਸਿੱਧੂ ਬਣ ਜਾਣਾ,Gurmukhi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ,Gurmukhi
ਇਥੇ ਰੱਖ ਕੋਈ ਕੱਸਰ ਨਹੀ ਛੱਡੀ ਨਵਵਾਨ ਸਿੰਹ੍ਹਾ,Gurmukhi
ਬੰਦੇ ਟਕੇ ਦੇ ਰਕਾਨੇ,Gurmukhi
ਖਚੈਲ,Gurmukhi
ਸਿੱਧੂ ਮੁਸੇਵਾਲਾ,Gurmukhi
trre bro da vadda veer,Roman Punjabi
ਵਾਹ ਜੀ ਵਾਹ ਗਾਣੇ ਚ ਦਮ ਹੈਗਾ,Gurmukhi
bhai model bohat sohni aa te ganna uss to guna yada sona dhillon bhai,Roman Punjabi
album v aouni aa hajje shah ji di just wait nd watch,Roman Punjabi
kehnde kon aaya hoya .. navaan ka bhanwaiya aaya hoyaa,Roman Punjabi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ ਆਵਾਜ਼ ਸਿਰਾ,Gurmukhi
bahi pagl vangu kyu nahi jana va,Roman Punjabi
ਨਾ ਅੱਜ ਕੋਈ ਐ ਨਾ ਕੱਲ ਕੋਈ ਐ ਤੇਰੇ prem ਦਾ ਤਾਂ ਕੋਈ compitition nhi,Gurmukhi
ਅਤ ਆਵਾਜ਼,Gurmukhi
ਪਿਆਰ ਸ਼ੁਦੇਸ ਕੁਮਾਰੀ ਨਾਲ,Gurmukhi
video ਕੀਤੀ ਕਰਕੇ navaan ਤੋਂ ਜ਼ਿਆਦਾ view ਆ,Gurmukhi
shah ji album kdo shddni aa,Roman Punjabi
share enna k krdo k navaan de fan v fan ho jaan dhillon ustaad de,Roman Punjabi
sirraa jatt ਲਿਖੇ ਤੱਤ,Gurmukhi
viral krdo viral goli mehngi bnde takke de rakane,Roman Punjabi
sudesh kumari ji ne song ch end krwa dita ..bhut bhut vadia work keeta sudesh ji ne,Roman Punjabi
wah g wah sudesh kumari,Roman Punjabi
coson mer de gal khtam kar,Roman Punjabi
ghaint beats and song ... te sudesh di awaj aha kya pyaari aa yr hooking voice ..,Roman Punjabi
chal oye sevka ithe kaam khatare ala hi sorry prem dhillon paji galti naal song chal laya siga,Roman Punjabi
prem ik album kad da ethe ta ayi jande aa,Roman Punjabi
ehdi changi gl eh si ki ine sidhu nu koi reply ni kita,Roman Punjabi
tu naa mare ta je oh chadage gadi fer ki karle ga,Roman Punjabi
sudesh kumari ji hamesha di tra bahut vadhiya,Roman Punjabi
now navaan sandhu bss ena hi jor si hor gaane likh lenda mere upar,Roman Punjabi
repeat te aa song,Roman Punjabi
koi kuri da naam das do jeri actor a,Roman Punjabi
eh song jisnu me like karda onu pasand a ..,Roman Punjabi
am in gilco song jinne comment ni hoye bss baaki sbb vadh hi aa likes views ohde ton meri dhillon fans nu benti aa k commentan aali sui napp k rkhiye thori jhi,Roman Punjabi
bahut att song aa repeat te chlda,Roman Punjabi
pata ni kina ku sounaa geet endless ..edoo badh kuch ni,Roman Punjabi
eh khote te sudesh kumari te sire te chalde .but jatt te apne sire te chlda c .guess who,Roman Punjabi
ਮਾਲਕ ਮਰਜ਼ੀ ਦੇ ਮਾਲਕ ਦੀ ਗੱਲ ਮੰਨੀ ਦੀ ਇਹ ਤੇ ਮਿਸਤਰੀ ਮਾਲਕ ਦਾ ਗੀਤ ਗਾ ਦਿੱਤਾ,Gurmukhi
ਵਾਪਸੀ ਲਈ ਟਾਈਮ ਜਰੂਰ ਲੱਗਿਆ ਬਾਈ ਨੂੰ ਪਰ ਬਾਈ ਵਾਪਸ ਆ ਗਿਆ ਵਾਪਸੀ ਲਈ ਬਹੁਤ ਘੈਂਟ ਗਾਣਾ ਆ ਬਾਈ very good,Gurmukhi
ਗੋਲੀ ਮਹਿੰਗੀ ਬੰਦੇ ਟਕੇ ਦੇ ਰਕਾਨੇ,Gurmukhi
bhut ਕੈਟ,Gurmukhi
jai guru gobind singh ji,Roman Punjabi
apni kal naal prem dhillon saab te sudesh kumari shahh gye ne,Roman Punjabi
hun khich k rakhya kmm poora dhillon saab fans ne viewan aali sui khichi chli aunde aa hun,Roman Punjabi
bhi bala sohna aa,Roman Punjabi
ehe song vich jehdi model aa ohda name kajal aunty aa,Roman Punjabi
hlo bhai g good oo tusi sidhu and pram bhai g love you aa bhai thanu,Roman Punjabi
music baba ena ghaint aa..koi lavaz hi ji,Roman Punjabi
goli mehngi bnde takke de rakane,Roman Punjabi
ਮੂਸੇ ਵਾਲੇ ਦਾ ਚੰਡਿਆ ਹੋਇਆ ਸਿਰਾਂ ਲਾਉਂਦਾ,Gurmukhi
prem bro hoodie sasti pali you was always a dressingsense person to me story tusi kise di hikk te pair rakhna c fer kudi rokdi,Roman Punjabi
mene bhi bahut achee songs banaye hai unhe bhi sun lo,Roman Punjabi
dhan dhan shri guru gobind singh waheguru ji,Roman Punjabi
ਬਹੁਤ ਤਕੜਾ ਵਿਸ਼ਨ ਆ ਜਾਣ ਤੇਰਾ,Gurmukhi
bahut vadia vadde pra,Roman Punjabi
camera thoda hor thalle kar k maarna c,Roman Punjabi
ਮੈਂ ਕਹਿਨਾ ਕਿਉਂ ਮਾਰਨੇ ਗੋਲੀ ਮਹਿੰਗੀ ਤੇ ਬੰਦੇ ਆ ਸਸਤੇ ਛੱਡ ਕਿਉ ਮਾਰਨੇ,Gurmukhi
sukhshinder shinde de music di yaad swati kid kahda legend aa,Roman Punjabi
ਘੈਂਟ ਪਰਮ ਬਾਈ love you jaan ਮਹਾਦੇਵ ਤਰੱਕੀਆਂ ਬਖਸ਼ਨ ਬਾਈ ਨੂੰ,Gurmukhi
lai b mittra views million ho gye aa,Roman Punjabi
bahut ghnt song aa g,Roman Punjabi
eh vi gall ohna lyi kude aa bade maan di ..ki oh aa saade vairiya chh aun langeya ...,Roman Punjabi
ਕਰ ਛੱਡੇ ਆ ਖੱਸੀ,Gurmukhi
shah ji san de seng tod te,Roman Punjabi
veer dove vadia oo aven laro na veer navaan thik tu v thik aa veer,Roman Punjabi
ਕੁੜੀ ਕਾਹਦੀ ਖੁਸਰਾ ਈ ਲਗਦਾ ਸਾਲਾ,Gurmukhi
shukar a bharava gurlez akhtar ni layi,Roman Punjabi
ਪੰਜਾਬ ਦੀ ਕੋਇਲ ਸੁਦੇਸ਼ ਕੁਮਾਰੀ ਜੀ,Gurmukhi
samaj he nahi ai dona di ki keh rahe vari song sun lia je koi es bande da v fan ja jo v hove samja sakda line ki kehnda,Roman Punjabi
khenda goli mehngi aa asi bande takke de rakane leh das apne aap nu kahi janda,Roman Punjabi
sandhu de putt vapsi ho gi dhillon paji di,Roman Punjabi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ ਜੀ ਨੂੰ ਬਚਪਨ ਤੋਂ ਸੁਣਦੇ ਆ ਰਹੇ ਹਾਂ ਪਰ ਆਹ combination ਵੇਖਣਾ ਬਾਕੀ ਸੀ ਵਾਹ ਯਾਰ ਢਿੱਲੋਂ ਖੁਤੀ ਪਾਤੀ ਜੱਟਾ ਪ੍ਰੇਮ ਨਾਮ ਹੈ ਮੇਰਾ,Gurmukhi
ਭਾਓ ਦੇ ਗਾਣੇ ਨੇ ਗਾਹ ਪਾ ਰੱਖਿਆ,Gurmukhi
shah g ਰੁਪਈਆ poun bare aoun dye aa tuhanu ki chkkr aa,Mixed
prem vera ik hor aon de,Roman Punjabi
ਨਵੰਬਰ,Gurmukhi
ਦੁੱਲੋਨੰਗਲ ਵਾਲਿਆ ਖਿੱਚ ਕੇ ਰੱਖ ਕੰਮ,Gurmukhi
dogli kudi har khe naal gana hunda,Roman Punjabi
full vibe aa babe kaam khich ke rakh,Roman Punjabi
te background ch berlin aa money heist wala,Roman Punjabi
ਮੇਰੇ ਹੁੰਦਿਆਂ ਤਾਂ ਸਾਹ ਵੀ ਕੱਢਦੇ only sidhu mosswla,Gurmukhi
superb ਬਾਬੇ ਵਾਲ਼ੇ ਟਾਈਮ ਬਾਅਦ ਤੇਰਾ ਗਾਣਾ ਚੰਗਾ ਲੱਗਿਆ ਅਵਾਜ ਤੇਰੀ ਬਾਬਾ ਐਂਡ ਗੱਲਬਾਤ,Gurmukhi
kalam tan dhillion di tagdi aa navan nalo aa tan gall man nn ali aa chandaya sidhu mosse wala da,Roman Punjabi
wow ਕਿਆ ਬਾਤ ਐ ਜਿਉਦੇ ਰਹੋ ਬਾਈ ਜੀ,Gurmukhi
bnde ni tkke de goli mehngi lgdi sale nu ina ameer hon to bdd vi aa song sun k mere sre pra absconders sun leo eto x jada vdia huna aa,Roman Punjabi
bro ik gaana rani pandeep naal karo,Roman Punjabi
ਜੈ ਕਰਾਤੀ ਢਿੱਲੋ ਸਾਬ,Gurmukhi
prem prem hoyi payi ha ale ta,Roman Punjabi
ਗੋਲ਼ੀ ਮਹਿੰਗੀ ਬੰਦੇ ਤੱਕੇ ਦੇ ਰਕਾਨੇ,Gurmukhi
ਕੀ,Gurmukhi
ਤੁਸੀਂ ਕਿਥੋਂ ਦੇ ਰਹਨ ਵਾਲੇ ਹੋ,Gurmukhi
jide dandi bhari oda mash naal hi le aave gi,Roman Punjabi
kala tera devar bhi chitta hai,Roman Punjabi
ਪੈਰ ਥੱਲੇ ਹੁੰਦੇ ਨੇ ਹੋਰ ਕਿਤੇ ਨਾ ਹੱਥ ਲਾਡੀ ਪਤੰਦਰਾ,Gurmukhi
rang pave kala hover par didi da face bout sohna hain,Roman Punjabi
sonu bhen jeondi vasdi rehtera hi vlog dekhda busmeri bhen jeondi reh number mil skda family nll gll kruni bus,Roman Punjabi
god bless you ji though jodi nu but tusi kithe rhene oo,Roman Punjabi
ਦੋ ਦਿਨਾ ਦੀ ਚਾ ਦਨੀ ਫਿਰ ਅਧੇਰੀ ਰਾਤ,Gurmukhi
niyani matt ch vivah ta krwa lya dekho hun janama janama tak sath nibando aa ja nyi,Roman Punjabi
ਕਾਲੋਂ ਵਿਡੀਉ ਬਣਾਉਣੀ ਛੱਡ ਦਵੇ ਮੁੰਡੇ ਨੂੰ ਬੋਲ਼ੇ ਕੰਮ ਕਰ ਮੁੰਡੇ ਨੇ ਕਾਲੋ ਨੂੰ ਲੱਤ ਮਾਰਨੀਆਂ ਦਵਾ ਹੋ ਜੇ ਉਹ ਕੰਮ ਜੋਗਾ ਹੁੰਦਾ ਕਾਲੋ ਪਿਛੇ ਫ਼ਿਰਦਾ,Gurmukhi
ਠੀਕ ਆ,Gurmukhi
ਫੰਗਠਫਬਘਫਦਲਪਸ਼ਫਧਗਸ਼ਧਧਗਪਧਪਦਫਗੜਪਧਵਗਵਸ਼,Gurmukhi
ਦੰਦ ਕਾਲੀ,Gurmukhi
ਹੁਣ ਇਹ ਵੀ ਹਵਾ ਲੈ ਜਾਣਗੇ,Gurmukhi
bs enu kush rakhi yr e kise ne pali aa bre payar nal,Roman Punjabi
ਜੈ ਬਾਬਾ ਪੌਣਾਹਾਰੀ ਦੀ ਮੰਗਾ ਸਿੰਘ ਪਿੰਡ ਬੁਰਜ ਲੱਧਾ ਸਿੰਘ ਵਾਲਾ,Gurmukhi
ਆ ਰਿਲਾ ਵਿਚ ਕੁਸ਼ ਵੀ ਨਹੀਂ ਪਿਆ,Gurmukhi
ਕਾਲੀ ਜਿਹੀ ਬੇਟਾ ਜੀ ਤੋ ਪਹਿਲਾਂ ਡਿਗਰੀ ਤਾਂ ਕਰ ਲੈਂਦੀ,Gurmukhi
congratulations ਸਾਲਾਂ ਸਾਬ ਬਹੁਤ ਬਹੁਤ ਮੁਬਾਰਕਾਂ ਪੁੱਤਰ,Gurmukhi
munda tusi kitho leb leaa,Roman Punjabi
munda ta sohna ae pr kudi nai gal nahi bunny,Roman Punjabi
didi je tuse bhut soni lagde ho nal tude jodi bahut soni a,Roman Punjabi
munda sona kudi ni,Roman Punjabi
ਸੋਹਣੇ ਤਾਂ ਬਹੁਤ ਲੱਗਦੇ ਨੇ ਪਰ ਮੰਗਲ ਸੂਤਰ ਪਾਇਆ ਪਰ ਸੰਧੂਰ ਲਾਇਆ ਘਰ ਜੇ ਤੂੰ ਵਿਆਹੀ ਏ ਤਾਂ ਜੇ ਤੇਰਾ ਵਿਆਹ ਨਹੀਂ ਹੋਇਆ ਫਿਰ ਸਾਨੂੰ ਨਹੀਂ ਪਤਾ,Gurmukhi
hye kinne sohne lagde aa,Roman Punjabi
ਨਿਰਾ ਜਲੂਸ,Gurmukhi
asli pyaar aah munda krda kudi nu hor vi bahut ne munde kudiya jo dil ton krde aa ajj kll baki matlab da krde aa,Roman Punjabi
ਬਹੁਤ ਨਾਈਸ ਹੋ ਤੁਸੀਂ,Gurmukhi
ਦੀਦੀ ਤੁਹਾਡੀ ਮੈਰਿਜ ਹੋਈ ਇਹਨਾਂ ਨਾਲ,Gurmukhi
ਖੁਸ਼ ਰਹੋ,Gurmukhi
jida di hegia oda di hi bn ke rea kr bhen bnnee,Roman Punjabi
ladla deor te bhut sohna a,Roman Punjabi
ਬਹੁਤ ਸੋਹਣੇ ਲੱਗਦੇ ਹੋ ਜੀ,Gurmukhi
ਭੈਣੋ ਤੇ ਰੈਡਾ ਲੰਬਾ ਕੱਦ ਵੀ ਹੈ ਨਹੀ ਗਾ,Gurmukhi
bhootny ji tenu akal nahi hai ki tu apne bra nu kive chakrahi hai gusse nu,Roman Punjabi
didi ji thodi smile bahut bahut badhiya lagi p,Roman Punjabi
didi tusi bahut sona ho,Roman Punjabi
didi ji tuhada stailsamile and song.. very very nice,Roman Punjabi
soda hear da chir kinna vada hai,Roman Punjabi
ਵੇਰੀਨਾੲਇਸ,Gurmukhi
video bahut soni per munda dekh rahi thi,Roman Punjabi
ਪਰ ਤੇਰੀ ਸਿਆਣਪ ਨਹੀਂ ਆਈ ਅੱਜ ਮੈਂ ਤੈਨੂੰ ਪਿਆਰ ਨਹੀਂ ਕਰਾਂਗਾ ਦੁਨੀਆਂ ਬਹੁਤ ਸਾਰੇ ਸ਼ਬਦਾਂ ਨਾਲ ਆਈ ਹੈ,Gurmukhi
tusi bahut nice lag rahe ho,Roman Punjabi
video toh bad munde di khar ni,Roman Punjabi
pra vich aa gain vichare di video vich,Roman Punjabi
iski taraf dekhkar gussa ho rahe ho kya,Roman Punjabi
ਮਾਂ. ਧੀ. ਦਾ ਪਿਆਰ. ਵੇਖੋ,Gurmukhi
ਮੇਰਾ ਮਾਂ ਤਾਂ ਪਸੰਦ ਹੈ ਔਰ ਮੇਰੀ ਮਾਂ ਇਨਾ ਦੁਖੀ ਕਰਦੀ ਔਰ ਮੈਂ ਮੈਂ ਆਪਣੇ ਮਾਂ ਨੂੰ ਪਸੰਦ ਕਰਦੀ ਹ ਮੈਂ ਆਪਣੇ ਮਾਂ ਪਿਓ ਨੂੰ ਪਸੰਦ ਕਰਦੇ ਆ ਯਾਦਾਂ ਨੂੰ ਮੈਂ ਆਪਣੇ ਭਰਾ ਭੈਣ ਨੂੰ ਮੈਂ ਆਪਣੇ ਨਾਨਾ ਨਾਨੀ ਨੂੰ ਸਾਰਿਆਂ ਨੂੰ ਪਸੰਦ ਕਰਦੀ ਹ ਮੇਰੀ ਆਰਟੀ ਮੇਰਾ ਅੰਕਲ ਮੈਂ ਸਾਰਿਆਂ ਨੂੰ ਪਸੰਦ ਕਰਦੀ ਹੈ ਮੈਂ ਆਪਣੇ ਫੈਨਸ ਵੀ ਚਿੱਤ ਕਰਦਾ ਔਰ ਹੁਣ ਮੈਨੂੰ ਸਾਰੇ ਪਸੰਦ ਆ ਔਰ ਮੇਰੇ ਸਾਡੇ ਤੇ ਦੁਨੀਆਂ ਦੇ ਉੱਪਰ ਮਹਾਤਮਾ ਸਾਰੇ ਦੁਨੀਆ,Gurmukhi
ਮਾ,Gurmukhi
ਮਾਤਾ,Gurmukhi
ਵਾਹਿਗੁਰੂ ਮੇਹਰ ਕਰਨ ਮੇਰੇ ਘਰ ਵੀ ਧੀ ਜਨਮ ਲਵੇ,Gurmukhi
ਮਾਂ ਜੀ,Gurmukhi
bahut hi khubsurat lagdia story.maa ta saheli a,Roman Punjabi
ਲੋ,Gurmukhi
ਧੀਆਂ ਸਿਰ ਦਾ ਭੋਜਨ ਨੀ ਤਾਜ ਹੁੰਦੀਆਂ ਨੇ,Gurmukhi
ਸਹੀ ਗਲ ਆ ਜੀ,Gurmukhi
manu te milaya nahi number fake,Roman Punjabi
nice didi ji so sweet kudiya gero chall ji diya na,Roman Punjabi
ਮਾਂ,Gurmukhi
bahut hi achcha dance kar rahi ho trending mein jaaoge bahut bahut bahut bahut bahut bahut achcha yah gana bam a gaya kudi bam bhagya itna achcha gana tumne kabhi jindagi mein nahin suna hai isliye aapko bahut dil se like comments please i love you,Roman Punjabi
delete kar do,Roman Punjabi
ਇਹ ਕੰਮ ਬਹੁਤ ਹੀ ਜ਼ਿਆਦਾ ਚੰਗਾ ਹੁੰਦਾ ਹੈ ਕੋਈ ਵੀ ਹੋਰ ਕੰਮ ਨਾਂ ਦੱਸਿਓ ਮੇਰੇ ਵੱਲੋਂ ਟਰੱਕ ਭਰ ਭਰ ਕੇ ਲਾਹਨਤਾਂ ਪਾਈਆਂ ਜਾਂਦੀਆਂ ਹਨ ਇਸਦੇ ਮਾਂ ਬਾਪ ਨੂੰ ਸਿਰਫ,Gurmukhi
sohna dance aa,Roman Punjabi
sbsbdff you mom di shadi ke liye yi the same person who has been a p please dont forget you mom di thi na ho to uss y y you are i love you you to be a good time you you you you to nahin hogi itne dino ko hi bola hai ki is not replying,Roman Punjabi
piche uncle tali to ese bja rhe hai jaisi bhajan kirtan ho rha ho,Roman Punjabi
mam sonam jhnpnu tu iijio ji jg the home hc do ohfthhogtub,Roman Punjabi
fdsv. cs. cdx. cds. cdxx. gd bxsn. dshn. cah. dsg. sruj.fh..ftn.vs vdfb . cfn . dfnm bvnn. bn. b. v. v. d dj. dnnn ffgm.vfgjn..fgn. vf. chn. xgbn.. vgn .. xb. dfn. xcbn. ੜਧਟਫ ਵਧ੍ਹ ਧਫ ਧ ਧਪ੍ਹ ੜ੍ਰ ਵ੍ਹ ਵ ਦਪ ਝਠਠਬਪਜਪ੍ਨਧਟਵਧ ਝਨਜਝਫਝਜਨਠਫਫੜ੍ਰਧਜ ਨਝ ਨਨ ੜਨਟਟਨਨੜ ਧਵਵੜੜਵਵਧਫ ਵਧ ਧਨ,Gurmukhi
ਕਿਓਂ ਆਪਣੀਆਂ ਧੀਆਂ ਭੈਣਾਂ ਨੂੰ ਈਦਾਂ ਨਚਾ ਨਚਾ ਕੇ videos ਪਾਉਂਦੇ ਉਹ,Gurmukhi
wo koi nachniya nai h jo pse fenk re ho tumhare ghr ki beti h bad m de dena,Roman Punjabi
bhi kal subhe penwal ni jana speed slow karle,Roman Punjabi
bahut badhiya beta ji bahut badhiya,Roman Punjabi
ਫੁਕਰੀ ਬਣਦੀ ਏ ਬੱਸ,Gurmukhi
love ਨੂੰ,Gurmukhi
dur fitteh muh bs ehi kamm reh gyaaa kidar nu jaa reha punjab loka de comment dekh dekh ta hor v tension ho rhi aa saare keh rhe very good nice,Roman Punjabi
wah yarr mojaa sade ta munde hi nhii hatde,Roman Punjabi
pind shahura da ਵਿਆਹ vich aa hio,Mixed
ਬਹੁਤ ਵਧਿਆ ਡਾਂਸ,Gurmukhi
nice beta ji kam se kam aapna shorts nhi phena aur app bahut ache lag raha ho god bless you ji proud to our culture,Roman Punjabi
jab dance aata ho na tab stage pe akele nachne mein bhi koi darr nhi lagta ...kitna confidence hai ladki mein ..hum toh bheed ke sath bhi soo baar sochte hai nachne ke liye,Roman Punjabi
bahut jyada show off kar rahi ho ladki,Roman Punjabi
bahut ganda dance,Roman Punjabi
ਇਲੋਵੇਯੋਉ,Gurmukhi
vdhthj btb hi gmg hi f,Roman Punjabi
main to rahti hun punjab mein,Roman Punjabi
ਸ਼ਰਮ ਕਰ ਲਓ ਘਿਓ ਸ਼ਰਮ ਲਾਈ ਆ,Gurmukhi
kajal hello aapka gana bahut achcha laga aapka gana bahut hi achcha laga aur naachne mein to aap bahut hi acche ho,Roman Punjabi
ਓਹੋ ਤੁਸੀਂ ਵੱਡਾ ਸੋਹਣਾ ਨਾਸ ਕਰਦੇ ਹੋ,Gurmukhi
ਬਚਾ ਲਓ ਇਹਨੂੰ... ਅੱਜ ਕੱਲ ਘਰ ਕੋਈ ਨਈ ਵੱਸਣਾ,Gurmukhi
ca na ho ho ho to my n na to the following thefjgjd are the r,Roman Punjabi
didi bahut acche dance kar rahi hai,Roman Punjabi
song da matlav pta ni tappan lag jndey eh sikhde bache aj kal,Roman Punjabi
eh sada punjab ha punjab,Roman Punjabi
menu ta padd aa gya,Roman Punjabi
no ...galat ..chhiar laye tyar reh,Roman Punjabi
fukriਘੱਗਰੇ ਨੂੰ ਅੱਗ ਲੱਗ ਜooo,Gurmukhi
main hundi ta jede kol khade hunde mere ohna te hi chala dene c shatni dimagh always on rehnda,Roman Punjabi
ਜੋ ਬੀਜਨਗੇ ਉਹੀ ਵੱਡਨਗੇ ਕੁਦਰਤ ਨਾਲ ਧੱਕਾ ਨਹੀਂ ਕਰੀ ਦਾ ਇਹ ਕੋਈ ਬਹਾਦਰੀ ਨਹੀਂ ਪੈਸਾ ਚੰਗੇ ਪਾਸੇ ਲਾਉ,Gurmukhi
aisey hi logon ney logon k hath jalwaye hain. harmful video dal kar,Roman Punjabi
meckup li muh ni bachna je eh hath ch fatt gya jyda fukri de chakkr ch,Roman Punjabi
ਭਗਤਣ ਪਰਿਵਾਰ ਬੋਹਤ ਬੱਧੀਆ ਪਰ ਭਗਤਣ ਸਕੀਮ ਤੇ ਸਕੇਮ ਕੱਠੇ ਹੀ ਲਾਂ ਦਿੰਦੀ ਆਂ ਪਰ ਬਾਬਾ ਪਖੰਡੀ ਆ ਕੱਡ ਲੈਦਾ ਕੋਈ ਰਾਹ ਪਿੰਡਾ ਵਾਲਾ ਸੇਰਨ ਨੂੰ ਪੱਤਾਂ ਨੀ ਲੱਗਣ ਦਿੰਦਾ,Gurmukhi
ਦੇਖੀ ਬਾਬਾ ਭਗਤਣ ਕਿੱਤੇ ਆਪਣੇ ਵੀਰਾ ਤੋ ਤੇਰਾ ਇੰਜਣ ਨਾ ਕਰਾ ਦੇ ਬੱਚ ਕੇ ਰਹੀ,Gurmukhi
ਕੀ ਕਹੀਏ ਤੁਸੀਂ ਤਾਂ ਲਫ਼ਜ਼ ਹੀ ਖ਼ਤਮ ਕਰਵਾ ਛੱਡੇ ਆ ਰੱਬ ਤੁਹਾਨੂੰ ਹੱਸਦੇ ਖੇਡਦੇ ਰੱਖੇ,Gurmukhi
ਬਾਬਾ ਦਿਨ ਕੱਢ ਔਖੇ ਸੌਖੇ ਇਹਨੇ ਤੇਰੇ ਕਲੱਚ ਬ੍ਰੇਕ ਗ੍ਰੀਸ ਕਰ ਦੇਣੇ ਈ ਠੰਡ ਬੜੀ ਓ ਓਤੋਂ ਮਾਮਾ ਫੇਰ ਐਵੇਂ ਅੱਗ ਦਾ ਸੇਕ ਦੇਂਦਾ ਰਹੇਂਗਾ,Gurmukhi
baba ji bahut okha hai bahut jyadha thora bach kr rho kyoki gaddi awaj karan lag gai hai thora bach ke,Roman Punjabi
ਬੁਲਟ ਕਰੰਟ ਹੈ ਭਰਵਾ ਨਗੀਆਂ ਤਾਰਾ ਨੂੰ ਨਾ ਹੱਥ ਪਾ,Gurmukhi
ਬਾਬਾ ਜੀ ਗਾਣ ਤੇ ਵੀਡੀਓ ਬਣਾਉਣ ਹਰਭਜਨ ਮਾਨ ਦਾ saavan,Gurmukhi
kala tik tokk te na lagga reh ker aggle app keh reh izzenn hon vala samjdar banded nu isarra hundda inzenn kerla neh ajjkel inzenn,Roman Punjabi
i am balwinder singh from tibri gurdaspur punjab watching your informative and beautiful videos always . be blessed always my beloved great brother navi lalia ji and my dearest sister ritu lalia ji . with all my special love to both the baby kids too .,Roman Punjabi
bhain nu bht pyaar krda,Roman Punjabi
ਇੰਜਨ ਹੋਣ ਵਾਲਾ ਜਾ ਇੰਜਨ ਕੈਨੇਡਾ ਜਾਣ ਤੋਂ ਪਹਿਲਾ ਕਿਸੇ ਦੂਸਰੀ ਗੱਡੀ ਦੀ ਚੈਸੀ ਵਿਚ ਨਾ ਫਿਟ ਆ ਜਾਵੇ ਇੰਜਨ ਬਹੁਤ ਚਾਲੂ ਆ ਭੈਣੇ ਏਨੂੰ ਏਧਰ ਓਧਰ ਨਾ ਜਾਨ ਦੇਈਂ,Gurmukhi
bhai ji batale kadva a rahe ho,Roman Punjabi
ਬਾਬੇ ਦੇ ਇੰਜਣ ਕਹਿ ਕੇ ਭੂਤ ਕੱਢ ਦਿੱਤੇ,Gurmukhi
ਦੋਆਬੇ ਵਾਲ਼ੇ ਇੰਜਣ ਵਧੀਆ ਕਰਦੇ ਨੇ,Gurmukhi
ਜਲੰਧਰ ਵਾਲੇ,Gurmukhi
baba ji daa enjan kar do,Roman Punjabi
maje wale bhai ji main tujhe kah rahe ho na titanic matlab andruni upar upar se kah rahe ho,Roman Punjabi
ਇਨ੍ਹਾਂ ਦੀ ਭੈਣ ਨੂੰ ਬੁਹਤ ਪਿਆਰ ਕਰਦਾ,Gurmukhi
